OID,YEAR,WEEK,Month,Nmonth,ADDRESS,Longitude,Latitude,Ae_aegypti_femalers,Ae_aegypti_males,Cx_quinquefasciatus_females,Cx_quinquefasciatus_males
53,2010,1,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
54,2010,2,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,6,1,0,0
55,2010,3,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,1,95,0
56,2010,4,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
57,2010,5,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
58,2010,6,February,2,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
59,2010,7,February,2,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
60,2010,8,February,2,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,1,35,0
61,2010,9,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
62,2010,10,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,1,0
63,2010,11,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,1,12,2
64,2010,12,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,3,0
65,2010,13,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
66,2010,14,March,3,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
67,2010,15,April,4,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,0,17,1
68,2010,16,April,4,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,3,1,38,7
69,2010,17,April,4,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,1,0
70,2010,18,April,4,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
71,2010,19,May,5,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,11,14,30,6
72,2010,20,May,5,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,1,8,5
73,2010,21,May,5,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,12,12,0,3
74,2010,22,May,5,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,5,6,1,0
75,2010,23,June,6,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,3,2,2,4
76,2010,24,June,6,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,16,12,4,6
77,2010,25,June,6,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,22,14,16,3
78,2010,26,June,6,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,6,1,1
79,2010,27,July,7,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,1,0
80,2010,28,July,7,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,9,6,14,10
81,2010,29,July,7,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,18,13,2,0
82,2010,30,July,7,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,14,11,8,1
83,2010,31,July,7,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
84,2010,32,August,8,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,21,22,2,2
85,2010,33,August,8,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,7,0,1,0
86,2010,34,August,8,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,18,21,2,0
87,2010,35,August,8,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,17,0,0,0
88,2010,36,September,9,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,14,10,43,2
89,2010,37,September,9,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,15,3,16,2
90,2010,38,September,9,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,26,17,19,4
91,2010,39,September,9,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,10,0,0
92,2010,40,October,10,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,10,2,23,1
93,2010,41,October,10,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,0,2,0
94,2010,42,October,10,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,25,5
95,2010,43,October,10,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,4,1,14,1
96,2010,44,October,10,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,3,0,5,0
97,2010,45,November,11,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,2,2,16,0
98,2010,46,November,11,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,2,0,14,2
99,2010,47,November,11,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,2,3,8,2
100,2010,48,November,11,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,3,0,6,4
101,2010,49,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,2,0,0,1
102,2010,50,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,2,0
103,2010,51,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,0,1
104,2010,52,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,0,0
674,2011,1,December,12,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,0,0,4,0
675,2011,2,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
676,2011,3,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,0,9,3
677,2011,4,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,0,3,1
678,2011,5,January,1,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,2,1,1,1
679,2011,6,February,2,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,1,0,2,7
680,2011,7,February,2,"1121 MARGARET, Key West, FL, ",-81.79369981,24.55286657,ND,ND,ND,ND
